gene,max_deviation,min_pvalue
SERPINI2,22.174146457481587,1.0
SERPINB4,22.174146457481587,1.0
FABP7,22.174146457481587,1.0
CYP24A1,22.174146457481587,1.0
MAGEA10,22.173433382926582,1.0
KCNRG,22.173077584333758,1.0
GPER1,22.173077584333758,1.0
ADCYAP1,22.172722275485043,1.0
HS6ST2,22.172722275485043,1.0
DSG3,22.17236745436365,1.0
PCA3,22.17236745436365,1.0
ESRRG,22.17236745436365,1.0
GPR39,22.172013118966582,1.0
MAGEA4,22.17165926730452,1.0
PKIA,22.171305897401687,1.0
LGR6,22.170953007295722,1.0
FOXG1,22.170953007295722,1.0
ADRB3,22.170600595037545,1.0
DRC1,22.17024865869124,1.0
DUOXA1,22.17024865869124,1.0
DLX4,22.169897196333924,1.0
MED12L,22.169897196333924,1.0
PRPH,22.169897196333924,1.0
CRB2,22.16954620605563,1.0
NTS,22.16919568595919,1.0
SOX21,22.168845634160096,1.0
PCGEM1,22.168845634160096,1.0
GNRHR,22.168845634160096,1.0
KIF1A,22.16849604878641,1.0
TNNI3,22.1671023345397,1.0
BMP5,22.166755053645172,1.0
OPRPN,22.1636498088381,1.0
FFAR1,22.16330700340359,1.0
TPPP,22.162622705130918,1.0
POU1F1,22.162622705130918,1.0
GNAT3,22.162622705130918,1.0
VGF,22.16159951424243,1.0
SRCIN1,22.16125931243328,1.0
VTCN1,22.160919538820753,1.0
TACR2,22.160241269744464,1.0
F11,22.15990277108532,1.0
GPR88,22.15956469423185,1.0
ANKK1,22.15888979965998,1.0
CNNM1,22.15888979965998,1.0
APELA,22.15821657356195,1.0
GLI1,22.15654072745252,1.0
DDX25,22.15654072745252,1.0
ZBED9,22.156206783726404,1.0
MAK,22.15587324502648,1.0
CEACAM8,22.15487504442663,1.0
ENKUR,22.15487504442663,1.0
GPR12,22.1545431112183,1.0
MAP3K15,22.1545431112183,1.0
HSPB3,22.15421157577338,1.0
EPHA7,22.15421157577338,1.0
DKK1,22.15354969247616,1.0
CTAG1B,22.15321934179625,1.0
CCL26,22.152889383224384,1.0
UNC13A,22.15255981536764,1.0
PCSK9,22.15255981536764,1.0
ADCYAP1R1,22.15255981536764,1.0
ABCA4,22.152230636841317,1.0
DACH2,22.151901846268874,1.0
GPRIN2,22.151901846268874,1.0
PTPRQ,22.150917788630448,1.0
DNAH7,22.150263665098823,1.0
FOXP2,22.148634980871282,1.0
NTSR1,22.148310369207824,1.0
PRNCR1,22.148310369207824,1.0
PADI4,22.148310369207824,1.0
PI16,22.147986129592482,1.0
PKHD1,22.147662260748934,1.0
PMFBP1,22.147338761408136,1.0
OXER1,22.14669286619467,1.0
PDZK1,22.146048433943154,1.0
CALCR,22.146048433943154,1.0
C1QTNF9,22.145726763331243,1.0
MLXIPL,22.145084507002274,1.0
NPR3,22.145084507002274,1.0
CES1,22.144443689102747,1.0
MAGEA3,22.14380430001101,1.0
TBX3,22.143166330212182,1.0
INCA1,22.143166330212182,1.0
CACNA1D,22.143166330212182,1.0
ADORA2B,22.142847874603007,1.0
POU3F1,22.141577553624586,1.0
PRG4,22.141260842991837,1.0
GPR149,22.140628457294596,1.0
FGFBP2,22.139682450830758,1.0
CCNB3,22.139053481620845,1.0
SPATA16,22.138112558543583,1.0
SCML2,22.136239716598155,1.0
TNFSF18,22.136239716598155,1.0
FMN2,22.135928731141046,1.0
PAPPA2,22.13561807286512,1.0
NKX2-4,22.134688050846474,1.0
NTRK1,22.134378691044134,1.0
ERVFRD-1,22.134069653324104,1.0
IL2,22.13314446264488,1.0
MKX,22.13314446264488,1.0
RNF43,22.132529261003576,1.0
RHOXF2,22.132529261003576,1.0
CUX2,22.132529261003576,1.0
BEAN1,22.131915323912313,1.0
SLCO1C1,22.131608827142976,1.0
PRDM12,22.13099677234038,1.0
SHBG,22.12765252916872,1.0
KCNK9,22.12584383305485,1.0
EDA,22.125543424219106,1.0
DNAH12,22.125243310335797,1.0
PKNOX2,22.124643963962384,1.0
CHRNA6,22.121961279488954,1.0
SOHLH2,22.12136828170323,1.0
IL13,22.12136828170323,1.0
SERPINB7,22.121072208000665,1.0
EPHA10,22.121072208000665,1.0
CYP46A1,22.121072208000665,1.0
PRAME,22.121072208000665,1.0
PTH2R,22.12048090692476,1.0
XRCC2,22.120185677942427,1.0
NXF3,22.119596059095084,1.0
